P1	1	tests,second	accepted	1	-	gate-ok-attempt-1
P2	1	tests,second,glm	accepted	1	-	gate-ok-attempt-1-incl-glm
P3	1	tests,second	accepted	1	-	gate-ok-attempt-1
P4	1	tests	accepted	1	-	gate-ok-attempt-1
P5	1	tests,second	accepted	1	-	gate-ok-attempt-1
P6	1	tests,second	accepted	2	worker-coder-sonnet	gate-ok-attempt-2
P7	1	tests	accepted	1	worker-coder-sonnet	gate-ok-attempt-1
P8	1	tests	accepted	1	worker-coder-haiku	gate-ok-attempt-1
P9	1	tests,second	accepted	1	worker-coder-sonnet	gate-ok-attempt-1
P10	1	tests,second	accepted	1	worker-coder-sonnet	gate-ok-attempt-1
P11	1	tests,second	accepted	1	worker-coder-sonnet	gate-ok-attempt-1
P12	1	tests	accepted	1	worker-coder-sonnet	gate-ok-attempt-1
P13	2	tests,second	accepted	2	worker-coder-glm	gate-ok-attempt-2-after-htmx-swap-fix
P14	2	tests,second	accepted	1	worker-coder-glm	gate-ok-attempt-1
P15	3	tests,second	accepted	2	tier3-glm+anthropic-merged-local	gate-ok-tier3-attempt-2
A0	1	content	accepted	1	worker-coder-glm	gate-ok-attempt-1
A1	3	tests,second	accepted	4	tier3-merged-wt-local+3-fix-attempts	gate-ok-tier3-attempt-4
A2	3	tests,second	accepted	2	tier3-glm+anthropic-merged-local	gate-ok-tier3-attempt-2
A3	3	tests,second	accepted	2	tier3-glm+anthropic-merged-local	gate-ok-tier3-attempt-2
A4	2	tests,second	accepted	1	worker-coder-glm	gate-ok-attempt-1
A5	2	tests,second	accepted	2	worker-coder-glm	gate-ok-attempt-2
A6	1	tests,a11y	accepted	1	worker-coder-glm	gate-ok-attempt-1
A7	2	tests,second	accepted	1	worker-coder-glm	gate-ok-attempt-1
A8	1	tests,a11y	accepted	3	worker-coder-glm	gate-ok-attempt-3
A9	2	tests,second	accepted	2	worker-coder-glm	gate-ok-attempt-2
R1	3	tests,second	accepted	3	worker-coder-sonnet	gate-ok-tier3-attempt-3
R2	2	tests,second	accepted	1	worker-coder-sonnet	gate-ok-attempt-1
R3	2	tests,second	accepted	2	worker-coder-sonnet	gate-ok-attempt-2
R4	3	tests,second	accepted	2	tier3-merged-wt-primary	gate-ok-tier3-attempt-2
R5	2	tests,second	accepted	2	worker-coder-sonnet	gate-ok-attempt-2-judges-2overrule-1uphold
R6	2	tests,second,a11y	accepted	1	worker-coder-sonnet	gate-ok-attempt-1-a11y-na-replace-path-no-markup-change
R7	2	tests,second	accepted	2	worker-coder-sonnet	gate-ok-attempt-2
R8	1	tests	accepted	1	worker-coder-sonnet	gate-ok-attempt-1
R9	1	tests	no-change	1	worker-coder-sonnet	no-defect-found-root-cause-was-lead-shared-tree-see-SPEC
R10	1	tests	accepted	1	worker-coder-sonnet	gate-ok-attempt-1
R11	3	tests,second	accepted	3	worker-coder-sonnet	gate-ok-tier3-attempt-3
R12	3	tests,second	accepted	4	worker-coder-sonnet	gate-ok-tier3-attempt-4-user-decision-UTC-calendar
R13	1	tests	accepted	2	worker-coder-sonnet	gate-ok-attempt-2
S1	2	tests,second	accepted	1	worker-coder	gate-ok-attempt-1
S2	3	tests,second	accepted	2	tier3-merged-wt-primary	gate-ok-tier3-attempt-2
S3	2	tests,second	accepted	1	worker-coder	gate-ok-attempt-1
S4	2	tests,second,a11y	accepted	3	worker-coder	gate-ok-attempt-3-judges-2overrule-1uphold
S5	3	tests,second,a11y	accepted	8	worker-coder	gate-ok-tier3-attempt-8-after-halt-and-two-user-decisions
P16	3	tests,second	accepted	1	lead	gate-ok-tier3-attempt-1-one-arm-ruling-2026-08-22a-judges-2overrule-1uphold
P17	3	tests,second	accepted	1	lead	gate-ok-tier3-attempt-1-one-arm-ruling-2026-08-22a-judges-3overrule-0uphold
P18	1	tests	accepted	1	lead	gate-ok-attempt-1-criteria-written-post-hoc-see-LEDGER_P16_P18_SPEC
F1	3	tests,second	accepted	3	tier3-merged-wt-primary+alt-graft	gate-ok-tier3-attempt-3-oracle-grades-detection-not-just-behaviour
F2	3	tests,second	accepted	2	tier3-merged-wt-primary	gate-ok-tier3-attempt-2-atomicwrite-reuse-perm-finding-unreachable-see-report
F3	3	tests,second	accepted	5	worker-coder	gate-ok-attempt-5-root-proof-atomicwrite-test-ruling-2026-08-24c
F4	3	tests,second	accepted	2	worker-coder	gate-ok-attempt-2-filePerm-stat-failure-test-closes-dual-lane-fail
Q1	2	tests,second	accepted	1	worker-coder	gate-ok-attempt-1
T1	1	tests	accepted	1	worker-coder	gate-ok-attempt-1
T2	2	a11y,second	accepted	1	worker-coder	gate-ok-attempt-1-11-findings-closed
T3	3	tests,second	accepted	3	worker-coder	gate-ok-attempt-3-full-module-root-clean-baseline-parity
T4	3	tests,second	accepted	1	worker-coder	gate-ok-attempt-1-doc-only-contract
T5	3	tests,second	accepted	1	worker-coder	gate-ok-attempt-1-staging-regime
T6	3	tests,second	accepted	4	worker-coder	attempt-4-both-lanes-pass-gate-0
T7	2	a11y,second	accepted	1	worker-coder	gate-ok-attempt-1-vendored-static-build
